,Indicador 17- Total elementos servicio,Indicador 6- Funcionamiento del COMUDE,Indicador 18- Oficinas municipales con instrumentos de gestiÃ³n,Indicador 20- Ingresos per capita,Indicador 24- EjecuciÃ³n plan operativo,3) Indice de Informacion a Ciudadania,ranking,Indicador 28- Acciones de Ordenamiento Territorial,Indicador 19- Independencia financiera,Indicador 7- Existencia de reglamento interno,Indicador 10- Presentacion informacion ejecucion presupuestaria anual,7) Indice de Gestion Estrategica,indice_gestion,Indicador 27- Presupuesto destinado a DEL_ Servicios PÃºblicos y GestiÃ³n Ambiental,Indicador 29- AnÃ¡lisis de riesgo en inversiÃ³n pÃºblica,8) Indice de Municipio Saludable,Indicador 4- Asistencia del Alcalde al total de reuniones del COMUDE,5) Indice de Gestion Administrativa,Indicador 13- Monto asignado Guatecompras como porcentaje de egresos (SOLO TRANSFERENCIAS DE CAPITAL),municipio,Indicador 22- InversiÃ³n con ingreso s propios,Indicador 15- Calidad y cobertura recolecciÃ³n de basura en el municipio,2) Indice de Participacion,Indicador 12- Porcentaje de informacion publica de oficio disponible,departamento,6) Indice de Gestion Financiera,Indicador 21- InversiÃ³n con transferencias,Indicador 25- Posicionamiento estratÃ©gico del Plan de Desarrollo,Indicador 23- Deuda en el total de ingresos,Indicador 5- Representacion territorial del COMUDE,Indicador 1- Reuniones ordinarias del COMUDE,Indicador 16- GestiÃ³n de mercados y rastros,Indicador 2- Asistencia Concejales designados y concejal de salud (MSALUDABLE),Indicador 3- RepresentaciÃ³n de grupos de mujeres_ jÃ³venes e indÃ­genas,1) Indice de Gestion 2012,Indicador 14- Calidad y cobertura de agua en el municipio,Indicador 11- InformaciÃ³n disponible medios diversos,Indicador 8- Total temas tratados,Indicador 9- Numero de rendiciones de cuentas trimestrales en el aÃ±o y foco en resultados,Indicador 26- Proyectos plan de desarrollo municipal,4) Indice de Servicios
1001,0,0,0.25,157.1586,0.55,0.1136,314,0.25,0.3728,0,0,0.2517,0.182,0.2598,0,0.0766,0.3333,0.125,0.5678,Mazatenango,0.0546,0.2,0.1198,0,Suchitepequez,0.3795,0.2704,0.3439,1,0,2,0,0,0.3333,0.182,0,0,0,0,0.0598,0.1026
1002,2,0,0.25,58.0859,1,0.3016,247,0,0.1762,0,0,0.5531,0.2817,0.3201,1,0.0951,0,0.2679,0.2082,Cuyotenango,0.2137,0.25,0,0.3,Suchitepequez,0.4393,0.654,0.3201,0.9736,0,0,0,0,0,0.2817,0,1,0,0,0.3201,0.1282
1003,3,0.1,0.6,82.2137,0.6667,0.2029,215,0,0.1102,0,0,0.579,0.3123,0.22,1,0.1534,1,0.5143,0.2147,San Francisco Zapotitlan,0.0701,0.0344,0.2311,0.8,Suchitepequez,0.2205,0.1375,1,0.6897,0.3194,4,0.125,0,0,0.3123,0.2,0,2,0,0.2331,0.126
1004,3,0.2,0.7,21.7948,1,0.3312,199,0,0.0391,0,0,0.5809,0.3259,0.1134,1,0.2917,0,0.5643,0.7558,San Bernardino,0.0414,0,0.1511,0.9,Suchitepequez,0.2616,0.5805,1,0.5577,0.24,0,0,0,0,0.3259,0.2,0,13,0,0.0353,0.0666
1005,5,0.4556,0.9,62.3871,0.6522,0.3836,75,0,0.052,0,0,0.5384,0.4483,0.1412,1,0.3959,0.6154,0.8071,0.5178,San Jose El Idolo,0.0901,0,0.5198,0.4,Suchitepequez,0.2135,0.3788,1,0.4406,0.2112,12,0.5833,0,0,0.4483,0.1,1,10,0,0.1184,0.2278
1006,4,0.5067,1,26.7506,0.2353,0.3878,166,0,0.064,0,0,0.0716,0.3519,0.1321,0,0.0876,0.4545,0.7857,0.3392,Santo Domingo Suchitepequez,0.2162,0,0.5623,0.6,Suchitepequez,0.3042,0.6173,0,0.4838,1,10,0,0,0.3333,0.3519,0,1,9,0,0,0
1007,2,0.1,0.175,164.9217,0.3684,0.23,317,0,0.1694,0,0,0.1123,0.1697,0.1383,0,0.2577,0.25,0.2304,1,San Lorenzo,0.0219,0.2,0.1031,0.15,Suchitepequez,0.2397,0.3522,0.0773,0.4815,0.2595,1,0,0.1667,0,0.1697,0,0,2,0,0.0043,0.1026
1008,1,0.1444,0.25,52.2136,0.6111,0.3998,213,0.25,0.0883,0,0,0.3889,0.3145,0.0637,1,0.3079,0.8889,0.1964,0.5491,Samayac,0.1342,0.2,0.4648,0.45,Suchitepequez,0.2282,0.3836,0.1608,0.4181,0.5385,8,0,0.5,0,0.3145,0.3195,1,10,0,0.1608,0.209
1009,2,0.2667,0.25,9.9314,1,0.2567,172,0,0.0164,0,0,0.8019,0.3483,0.8506,1,0.2854,1,0.2679,0.4835,San Pablo Jocopilas,0.0167,0.0457,0.395,0.8,Suchitepequez,0.2792,0.585,1,0.7067,0.5833,6,0.125,1,0,0.3483,0.0731,0,3,0,0.3738,0.0895
101,5,0,1,934.5273,1,0.51,41,1,0.8391,0,0,0.6172,0.4941,0.2015,1,0.194,0,0.8571,1,Guatemala,0,0.4,0,0.55,Guatemala,0.5417,0.1271,0.6751,1,0,0,0.5,0,0,0.4941,0.2,1,0,0,0,0.4384
1010,0,0.6333,0.25,111.4531,0,0.4976,192,0,0.2596,0,1,0.3008,0.3306,0,1,0.312,0.2857,0.125,0.1378,San Antonio Suchitepequez,0.0012,0,0.5115,0.35,Suchitepequez,0.2598,0.1961,0.3205,0.7089,0.2669,12,0.6667,0.0794,0,0.3306,0.2004,1,9,0,0.3205,0.289
1011,2,0.3667,0.25,40.6635,0,0.3338,291,0,0.0384,0,0,0,0.2318,0,0,0.341,0.8333,0.2679,0.5688,San Miguel Panan,0.0274,0,0.3698,0.1,Suchitepequez,0.313,0.4497,0,0.9708,0.5694,5,0,0,0,0.2318,0.3193,1,11,0,0,0.1064
1012,0,0.2778,0.15,24.1568,1,0.1424,241,0,0.0167,0,0,0.6052,0.2881,0.0059,1,0.4762,1,0.075,0.3121,San Gabriel,0.0241,0.25,0.3749,0.4,Suchitepequez,0.3695,0.7141,1,1,0.9643,2,0,0.9286,0,0.2881,0.1,0,10,0,0.2941,0.1615
1013,2,0,0.25,59.3951,1,0.351,265,0,0.1731,0,0,0.4073,0.262,0.0496,1,0.0809,0,0.2679,0.3548,Chicacao,0.0196,0.25,0.0188,0.4,Suchitepequez,0.3307,0.3624,0.0817,0.9943,0.2,0,0,0,0,0.262,0.2041,1,0,0,0.0817,0.1962
1014,0,0,0,108.7058,0,0.0691,324,0,0.2117,0,0,0.3667,0.1319,0,1,0,0,0,0.3456,Patulul,0.1422,0,0,0,Suchitepequez,0.3557,0.458,1,0.7853,0,0,0,0,0,0.1319,0,0,0,0,0,0
1015,2,0,0.25,36.73,1,0.2631,263,0,0.0674,0,0,0.5209,0.2646,0.265,1,0.087,0,0.2679,0.3156,Santa Barbara,0.1905,0.25,0,0,Suchitepequez,0.4076,0.6422,0.265,1,0,0,0,0,0,0.2646,0,1,0,0,0.265,0.1282
1016,3,0.2667,0.275,30.545,1,0.7141,102,0,0.0303,0,1,0.6524,0.4143,0.4096,1,0.3233,0.5,0.3518,0.4369,San Juan Bautista,0.1534,0.25,0.1915,0.8,Suchitepequez,0.3589,0.5069,0.5384,1,0.4167,1,0,0.5,0,0.4143,0.2661,1,5,0.3333,0.5384,0.2169
1017,4,0.2667,0.25,142.859,1,0.1889,160,0,0.1366,0,0,0.6512,0.3561,0.1881,1,0.3139,1,0.4107,0.2445,Santo Tomas La Union,0.0183,0.1836,0.351,0.7,Suchitepequez,0.2259,0.5227,1,0.2774,0.5724,4,0.25,0.8,0,0.3561,0.3938,0,6,0,0.3309,0.3087
1018,0,0,0,470.8502,1,0.2771,321,0,0.201,0,1,0.3141,0.1563,0.2858,0,0.042,0,0,0.3855,Zunilito,0.0466,0,0,0,Suchitepequez,0.3463,0.3322,0.2858,0.783,0,0,0,0,0,0.1563,0,0,0,0,0.0913,0
1019,3,0.5333,0.25,41.6391,1,0.44,119,0,0.0457,0,0,0.5709,0.3975,0.1349,1,0.3041,1,0.3393,0.5002,Pueblo Nuevo,0.0212,0.2293,0.6064,0.7,Suchitepequez,0.1553,0.215,0.7679,0.4361,0.5417,12,0,1,0,0.3975,0.4668,1,6,0,0.1873,0.2731
102,7,0.7333,0.575,967.4504,0.5789,0.9117,1,0.25,0.6154,0,1,0.5862,0.7377,0.1285,1,0.7919,0.3333,0.7875,0.5586,Santa Catarina Pinula,0.3809,0.5229,0.7445,1,Guatemala,0.6075,0.2987,1,0.9204,0.6351,12,1,0.6786,1,0.7377,0.5617,1,12,1,0.3537,0.7887
1020,3,0.6333,0.25,77.0393,1,0.6997,43,0,0.1076,0,1,0.55,0.4932,0,1,0.5419,0.3333,0.3393,0.6318,Rio Bravo,0.2666,0.25,0.3443,0.2,Suchitepequez,0.4396,0.6689,0,0.9644,0.052,6,0.375,0,0,0.4932,1.0003,1,12,0.6667,1,0.5865
103,4,0,0.225,343.3313,0.1111,0.653,107,0,0.4074,0,0,0.4328,0.4122,0.1057,1,0.1601,1,0.3982,0.9149,San Jose Pinula,0.1139,0.4,0.185,0.85,Guatemala,0.4491,0.3775,1,1,0,2,0.25,0.9,0,0.4122,0.2,1,1,0.5,0.1252,0.3551
104,0,0,0.5,963.9189,0,0.0728,301,0,0.1141,0,0,0.3477,0.2235,0.324,1,0.0476,0,0.25,0.3638,San Jose del Golfo,0.8106,0,0,0,Guatemala,0.6704,0.7557,0.5158,0.802,0,0,0,0,0,0.2235,0,0,0,0,0,0
105,1,0.1,0.5,166.9886,0.625,0.5209,115,0,0.227,0,0,0.4968,0.4034,0.2155,1,0.168,0.5294,0.3214,0.6543,Palencia,0.3808,0,0.4304,0.95,Guatemala,0.4845,0.5363,0.6643,1,0.3462,9,0.5,0.4706,0.5,0.4034,0,1,1,0,0.1671,0.1667
106,0,0,0,325.8676,0,0.2,313,0,0.3999,0,0,0.4664,0.1831,0.5504,1,0.0809,0,0,1,Chinautla,0.0915,0,0,0,Guatemala,0.4325,0.3452,0.8967,1,0,0,0,0,0,0.1831,0,0,0,0,0,0
107,2,0,0.45,65.8269,0,0.1939,292,0.25,0.1723,0,0,0.3629,0.2315,0.3372,1,0.1577,0,0.3679,0.3197,San Pedro Ayampuc,0.0113,0.4,0,0.65,Guatemala,0.1759,0.2175,0.4696,0.3817,0,0,0.25,0,0,0.2315,0,0,0,0,0,0.2885
108,0,0,0,488.555,0.7931,0.3449,261,0,0.7021,0,0,0.6002,0.2653,0.409,1,0.1283,0,0,0.7247,Mixco,0.0371,0,0.1949,0,Guatemala,0.4516,0.0761,1,1,0,4,0,0,0,0.2653,0,1,9,0,0,0
109,2,0,0.25,174.3453,1,0.2189,188,0.25,0.2363,0,0,0.6528,0.3355,0.6815,1,0.2177,0,0.2679,0.6447,San Pedro Sacatepequez,0.6412,0.4,0,0.45,Guatemala,0.5598,0.5763,0.6461,1,0,0,0.125,0,0,0.3355,0.2,0,0,0,0,0.3134
110,2,0.1,0.5,99.4733,0.0526,0.6003,113,0.25,0.3371,1,1,0.2831,0.4051,0.0897,1,0.3908,1,0.3929,0.6516,San Juan Sacatepequez,0.1039,0.5,0.3154,0.35,Guatemala,0.4227,0.481,0.1815,1,0,3,0.375,0,0,0.4051,0.1039,1,4,0,0.0909,0.416
1101,1,0.2444,0.3,473.3567,0,0.361,189,0.25,0.4507,0,0,0.4187,0.3354,0.1447,1,0.3511,0,0.2214,0.6052,Retalhuleu,0.055,0.25,0.1872,0.2,Retalhuleu,0.4598,0.3715,1,1,0.5,0,0.7083,0,0.5,0.3354,0,1,7,0,0,0.3643
